,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQM,PricePerSQM
916,0.0,0.0,0.183,0.0,0.0,0.001,0.0,32668272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,3.0,80.5,0.0,0.0,0.0,22.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,42.342495,-71.06536,2810,2118.0,2.0,2.0,120.7739,28.1517778262
917,0.0,0.053,57.06,8.833,0.0,0.03,1.556,79757115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,1.0,216.9,1.556,0.076,0.39799999999999996,16.0,50.0,8.238999999999999,0.0,0.0,0.0,1.145,0.0,0.195,0.0,0.0,0.0,0.0,1.0,6.931,42.336563,-71.07663000000001,733,2118.0,2.0,1.0,92.90299999999999,33.368136658699996
918,0.0,0.249,26.19,9.789,0.0,0.009000000000000001,3.3789999999999996,41131064.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,15.0,16.0,2.0,241.9,3.3789999999999996,5.479,0.0,21.0,59.0,4.626,0.0,0.0,0.0,4.689,0.0,0.07200000000000001,0.0,0.0,0.0,0.0,0.0,28.07,42.339584,-71.08261999999999,2199,2118.0,3.0,1.0,83.6127,47.8396224497
919,0.0,0.13699999999999998,78.12,1.883,0.0,1.696,6.081,37029278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,1.0,307.8,6.081,0.027000000000000003,0.006,15.0,38.0,1.9669999999999999,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.631,42.336357,-71.07592,688,2118.0,1.0,1.0,56.577927,38.0006853203
920,0.0,0.0,62.21,1.6119999999999999,0.0,19.86,1.012,70425756.0,0.0,0.0,0.0,0.0,0.36700000000000005,0.0,0.0,9.0,34.0,2.0,370.4,1.012,0.071,0.0,14.0,49.0,2.069,0.0,0.0,0.0,0.716,0.0,0.004,0.0,0.0,0.0,0.0,0.0,4.871,42.33998,-71.07653,2088,2118.0,2.0,1.0,222.9672,20.182340721
921,0.0,0.0,0.183,0.0,0.0,0.001,0.0,32668272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,34.0,3.0,80.5,0.0,0.0,0.0,22.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,42.34342,-71.06472,1721,2118.0,1.0,1.0,96.526217,35.2235911203
922,0.0,0.0,54.01,1.695,0.0,0.655,7.372000000000001,97514305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,32.0,2.0,0.0,7.372000000000001,0.012,0.024,17.0,42.0,3.475,0.0,0.0,0.0,2.208,0.5,0.289,0.35200000000000004,0.0,0.0,0.0,1.0,23.93,42.343246,-71.077156,2810,2118.0,2.0,1.0,83.6127,38.2716979598
923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141382300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,433.8,0.0,0.0,0.0,11.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.337276,-71.07315,980,2118.0,2.0,2.5,132.85128999999998,37.6360666125
924,0.0,0.17300000000000001,31.78,1.693,0.0,0.7979999999999999,4.542,58022208.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.0,0.0,13.0,25.0,3.0,641.9,4.542,0.983,0.47100000000000003,15.0,67.0,4.115,0.0,0.0,0.499,0.9840000000000001,0.0,0.10300000000000001,0.0,0.0,0.0,0.0,1.0,34.42,42.34111,-71.0807,2056,2118.0,1.0,1.0,49.703105,38.1263906953
925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75773994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,2.0,0.0,0.0,0.0,0.0,13.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.34243,-71.07992,1979,2118.0,1.0,1.0,37.1612,50.4558518024
926,0.0,0.0,45.21,7.196000000000001,0.0,6.358,1.885,21661547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,170.6,1.885,0.321,0.0,11.0,25.0,1.4509999999999998,0.0,0.0,0.0,1.669,0.0,0.441,0.0,0.0,0.0,0.0,2.0,1.88,42.32675,-71.07896,1792,2119.0,3.0,1.0,130.0642,18.8368513396
927,0.0,0.0,45.21,7.196000000000001,0.0,6.358,1.885,21661547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,170.6,1.885,0.321,0.0,11.0,25.0,1.4509999999999998,0.0,0.0,0.0,1.669,0.0,0.441,0.0,0.0,0.0,0.0,2.0,1.88,42.32675,-71.07896,1791,2119.0,3.0,1.0,130.0642,19.0290641083
928,0.0,0.005,19.99,2.658,0.0,0.021,4.434,8509523.0,0.0,0.0,0.264,0.0,0.0,0.095,0.026000000000000002,1.0,17.0,2.0,0.0,4.434,5.127999999999999,0.055,14.0,0.0,1.004,0.0,0.0,0.823,1.126,0.14800000000000002,0.132,0.20800000000000002,1.556,0.0,0.0,1.0,46.7,42.324946999999995,-71.09691,421,2119.0,2.0,2.0,133.129999,21.407646822
929,0.0,0.13,15.27,6.221,0.0,1.5419999999999998,10.08,25811490.0,0.0,1.0,0.0,0.0,0.0,0.386,1.626,11.0,10.0,2.0,245.7,10.08,2.28,0.0,14.0,0.0,1.0190000000000001,0.0,0.0,0.23800000000000002,2.501,0.0,0.902,0.025,0.163,0.0,0.0,0.0,39.45,42.312897,-71.097374,1202,2119.0,2.0,1.0,92.90299999999999,24.757004617699998
930,0.0,0.13,15.27,6.221,0.0,1.5419999999999998,10.08,25811490.0,0.0,1.0,0.0,0.0,0.0,0.386,1.626,11.0,10.0,2.0,245.7,10.08,2.28,0.0,14.0,0.0,1.0190000000000001,0.0,0.0,0.23800000000000002,2.501,0.0,0.902,0.025,0.163,0.0,0.0,0.0,39.45,42.31354,-71.09761,1816,2119.0,2.0,1.0,78.96755,25.326858944
931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19059677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,2.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.324047,-71.09191,1366,2119.0,2.0,1.0,93.739127,19.4689246466
